Variable,Coefficient,Std_Error,t_statistic,p_value,Significant
sales_growth,338.1755718487787,550.5693101326495,0.6142288820408488,0.5489162926733955,
ebitda_growth,-219.3429745251187,395.79712563594325,-0.5541803118774333,0.5881989526007052,
pat_margin_change,132.19291034004686,250.6790584183827,0.5273392646920559,0.606214548048031,
pat_growth,-112.34288282597409,251.8735483434105,-0.4460289044437611,0.6623969354145212,
ebitda_margin_change,141.50388620406983,346.37545205881986,0.40852746741429097,0.6890665820583388,
