Variable,Coefficient,Std_Error,t_statistic,p_value,Significant
sales_growth,-760.6223082758154,376.06033448265936,-2.0226071152178076,0.062647490401335,*
ebitda_margin_change,-576.5961334059548,497.3308060114457,-1.1593814950459451,0.26569316791886166,
ebitda_growth,600.4873432116727,655.7125494746044,0.9157783295329922,0.3752881605491454,
pat_growth,186.05475215604568,525.0928935924748,0.35432730937022167,0.7283737198399147,
pat_margin_change,-72.08923025856475,451.0579427886346,-0.1598225492114784,0.8753038183170421,
