Variable,Coefficient,Std_Error,t_statistic,p_value,Significant
pat_growth,-17429.470834656222,8442.515517443107,-2.0644878648603178,0.058013134844396186,*
pat_margin_change,12095.339169526393,5898.75685702438,2.0504895290137233,0.05952583983814108,*
sales_growth,12925.423395952519,6312.196303537508,2.0476903401608086,0.05983264945840605,*
ebitda_margin_change,-540.1423917968041,3676.238907878566,-0.14692798953822675,0.8852837209841369,
ebitda_growth,337.2421258713348,6355.218275102223,0.05306538835849982,0.958429583222024,
