Variable,HCLTECH,INFY,TCS,TECHM,WIPRO
ebitda_growth,-0.5470113919463938,-0.41610527952431736,-0.5485524855297709,-0.2701952930637572,-0.4619321229904983
ebitda_margin_change,-0.1749045201901408,0.03671095588816656,-0.08943186016603155,-0.0654076869987757,-0.11176084100912904
pat_growth,-0.1934221280097662,-0.4055593794465605,-0.502914883245073,-0.20195166308268236,-0.35843621458193664
pat_margin_change,0.15662584276579572,-0.02790233165208023,-0.051504322582463236,-0.020123057028963155,-0.05486996203001857
sales_growth,-0.7237791865768707,-0.43821407164698817,-0.5696203273751965,-0.3012092439627416,-0.2987768752440523
